Rank,Username,Categories,Suscribers,Country,Visits,Likes,Comments,Links
81,DaddyYankee,M??sica y baile,38300000,Colombia,82800,6500,123,http://youtube.com/channel/UC9TO_oo4c_LrOiKNaY6aysA
87,PowerKidstv,"Pel?­culas, Animaci?³n",37400000,India,41700,0,0,http://youtube.com/channel/UCj-SWZSE0AmotGSQ3apROHw
90,SaregamaMusic,Pel?­culas,37000000,India,27300,703,26,http://youtube.com/channel/UC_A7K2dXFsTMAciGmnNxy-Q
91,RicisOfficial1795,"M??sica y baile, Pel?­culas",36900000,Indonesia,343800,27500,357,http://youtube.com/channel/UC4tS4Q_Cno5JVcIUXxQOOpA
93,IndiaTV,Noticias y Pol?­tica,36700000,India,14300,255,3,http://youtube.com/channel/UCttspZesZIDEwwpVIgoZtWQ
95,tseriesoldisgold,M??sica y baile,36500000,India,41100,1200,8,http://youtube.com/channel/UCRm96I5kmb_iGFofE5N691w
96,Ozuna,M??sica y baile,36300000,Estados Unidos,22700,2400,76,http://youtube.com/channel/UCjIA3wwhi0QjSOXAZwOXbPA
97,TotalGaming093,"Pel?­culas, Videojuegos",36300000,India,1500000,129400,4900,http://youtube.com/channel/UC5c9VlYTSvBSCaoMu_GI6gQ
101,markiplier,"Animaci?³n, Videojuegos",35500000,Estados Unidos,2100000,126500,3800,http://youtube.com/channel/UC7_YxT-KID8kRbqZo7MyscQ
102,tseriesapnapunjab,M??sica y baile,35000000,India,23300,601,27,http://youtube.com/channel/UCcvNYxWXR_5TjVK7cSCdW-g
105,YOLOAVENTURAS,"Pel?­culas, Animaci?³n",34600000,M?©xico,1100000,73600,0,http://youtube.com/channel/UCOnIJiQuk1fDSp6p1GCZy3A
106,GeetMP3,M??sica y baile,34500000,India,0,0,0,http://youtube.com/channel/UClZF7OsrECe3t_ADrjZEh_Q
109,jbalvin,"Animaci?³n, Videojuegos",34200000,Colombia,16900,1600,60,http://youtube.com/channel/UCt-k6JwNWHMXDBGm9IYHdsg
110,SSSniperWolf,"Animaci?³n, Humor",34200000,Estados Unidos,1200000,34600,2100,http://youtube.com/channel/UCpB959t8iPrxQWj7G6n0ctQ
112,vegetta777,"Pel?­culas, Animaci?³n",34000000,M?©xico,249900,19400,209,http://youtube.com/channel/UCam8T03EOFBsNdR0thrFHdQ
113,NoCopyrightSounds,M??sica y baile,33600000,Estados Unidos,191100,6900,363,http://youtube.com/channel/UC_aEa8K-EOJ3D6gOs7HcyNg
116,DisneyMusicVEVO,"M??sica y baile, Pel?­culas",33200000,Estados Unidos,276900,3200,198,http://youtube.com/channel/UCgwv23FVv3lqh567yagXfNg
117,KarolG,M??sica y baile,33000000,Colombia,74000,2700,165,http://youtube.com/channel/UCZuPJZ2kGFdlbQu1qotZaHw
120,erosentertainment,Pel?­culas,33000000,India,7100,93,5,http://youtube.com/channel/UCX52tYZiEh_mHoFja3Veciw
122,LucasandMarcus,"Animaci?³n, Humor",32800000,Estados Unidos,706100,23300,504,http://youtube.com/channel/UCwD4x63A9KC7Si2RuSfg-SA
123,AboFlah,"Animaci?³n, Videojuegos",32700000,Iraq,3300000,382000,11400,http://youtube.com/channel/UCqq5n-Oe-r1EEHI3yvhVJcA
125,FrostDiamond,"Pel?­culas, Animaci?³n",32600000,Indonesia,316200,13200,386,http://youtube.com/channel/UC4hGmH5sABOA70D4fGb8qNQ
126,MrBean,"Pel?­culas, Humor",32400000,India,204400,1800,73,http://youtube.com/channel/UCkAGrHCLFmlK3H2kd6isipg
127,WorldwideRecordsBhojpuri,M??sica y baile,32200000,India,44200,1600,29,http://youtube.com/channel/UCbomPUMyPHCgrqD5iYnzj1A
128,rezendeevil,Pel?­culas,32200000,Brasil,413400,15600,153,http://youtube.com/channel/UCbTVTephX30ZhQF5zwFppBg
129,SMTOWN,M??sica y baile,32200000,Estados Unidos,132300,12700,505,http://youtube.com/channel/UCEf_Bc-KVd7onSeifS3py9g
131,zeenews,Noticias y Pol?­tica,32100000,India,14700,231,6,http://youtube.com/channel/UCIvaYmXn910QMdemBG3v1pQ
132,fedevigevani,"Animaci?³n, Humor",32000000,M?©xico,7700000,412200,17000,http://youtube.com/channel/UCoQm-PeHC-cbJclKJYJ8LzA
133,dream,"Animaci?³n, Videojuegos",31900000,Estados Unidos,3300000,309200,19000,http://youtube.com/channel/UCTkXRDQl0luXxVQrRQvWS6w
134,GENIALBrightSideSpanish,Animaci?³n,31800000,M?©xico,15500,524,21,http://youtube.com/channel/UCbrd1vu4_7qIE6IPV_dA-OA
137,MrBeast2,Vlogs diarios,31300000,Estados Unidos,83100000,5000000,11600,http://youtube.com/channel/UC4-79UOlP48-QNGgCko5p2g
141,ImagineDragons,M??sica y baile,31000000,Estados Unidos,77100,10700,217,http://youtube.com/channel/UCT9zcQNlyht7fRlcjmflRSA
143,AttaHalilintar,"M??sica y baile, Pel?­culas",30600000,Indonesia,155300,7600,108,http://youtube.com/channel/UCaKLg1ELiX0zTJ6Je3c5esA
144,enaldinho,Pel?­culas,30600000,Brasil,1800000,63400,838,http://youtube.com/channel/UC2bYhAHyaqfWlPXWBVk4BcA
146,jacksepticeye,"Animaci?³n, Humor",30400000,Estados Unidos,1600000,83400,2300,http://youtube.com/channel/UCYzPXprvl5Y-Sf0g4vX-m6g
147,TrapNation,M??sica y baile,30400000,Estados Unidos,47800,1600,60,http://youtube.com/channel/UCa10nxShhzNrCE1o2ZOPztg
149,TalkingTom,"Pel?­culas, Animaci?³n",30400000,Estados Unidos,201300,798,0,http://youtube.com/channel/UCm3hAp1m1xlAz0ve_EKAo4g
150,spinninrecords,M??sica y baile,30200000,Estados Unidos,31900,1200,33,http://youtube.com/channel/UCpDJl2EmP7Oh90Vylx0dZtA
154,DaFuqBoom,"Animaci?³n, Humor",29800000,Estados Unidos,52700000,1700000,82800,http://youtube.com/channel/UCsSsgPaZ2GSmO6il8Cb5iGA
155,ultrarecords,M??sica y baile,29800000,Estados Unidos,15800,607,21,http://youtube.com/channel/UC4rasfm9J-X4jNl9SvXp8xA
157,AlanChikinChow,"M??sica y baile, Humor",29700000,India,3600000,106500,428,http://youtube.com/channel/UC5gxP-2QqIh_09djvlm9Xcg
159,Maluma_Official,M??sica y baile,29400000,Colombia,226400,8500,275,http://youtube.com/channel/UClZuKq2m0Qu-HkopkSBLpEw
166,adityamusic,M??sica y baile,28800000,India,28200,568,14,http://youtube.com/channel/UCNApqoVYJbYSrni4YsbXzyQ
172,SandeepSeminars,Vlogs diarios,28000000,India,1200000,58500,4000,http://youtube.com/channel/UCBqFKDipsnzvJdt6UT0lMIg
173,LankyBox,"Animaci?³n, Videojuegos",28000000,Estados Unidos,346500,6300,200,http://youtube.com/channel/UCSf0s2ogUVYpJPuzW1zpAOg
175,JYPEntertainment,M??sica y baile,27800000,Estados Unidos,177700,8700,668,http://youtube.com/channel/UCaO6TYtlC8U5ttz62hTrZgg
178,DanTDM,"Animaci?³n, Videojuegos",27800000,Estados Unidos,3500000,285000,52500,http://youtube.com/channel/UCS5Oz6CHmeoF7vSad0qqXfw
179,wizkhalifa,M??sica y baile,27800000,Estados Unidos,87400,4100,305,http://youtube.com/channel/UCVp3nfGRxmMadNDuVbJSk8A
180,brentrivera,"Videojuegos, Humor",27600000,Estados Unidos,6400000,154100,5000,http://youtube.com/channel/UC56D-IHcUvLVFTX_8NpQMXg
181,NichLmao,Vlogs diarios,27500000,Estados Unidos,1500000,85800,1600,http://youtube.com/channel/UC6VAIqNQBc7ggiqvsOHOBqw
183,renatongarcia,"Pel?­culas, Animaci?³n",27200000,Brasil,748200,68800,833,http://youtube.com/channel/UChMJkHCD2wdvSO7CMOuLR-w
186,Netflix,"Pel?­culas, Animaci?³n",27000000,Estados Unidos,202600,2200,176,http://youtube.com/channel/UCWOA1ZGywLbqmigxE4Qlvuw
187,RaffyTulfoInAction,Noticias y Pol?­tica,26800000,Filipinas,398300,5300,443,http://youtube.com/channel/UCxhygwqQ1ZMoBGQM2yEcNug
190,indosiar,"M??sica y baile, Pel?­culas",26700000,Indonesia,18800,471,24,http://youtube.com/channel/UCYqOeAXJm8yV9sJ8Ud3cR7A
192,worldstarhiphop,M??sica y baile,26600000,Estados Unidos,40300,993,127,http://youtube.com/channel/UC-yXuc1__OzjwpsJPlxYUCQ
193,smosh,"Pel?­culas, Humor",26300000,Estados Unidos,289100,21300,214,http://youtube.com/channel/UCY30JRSgfhYXA6i6xX1erWg
196,nickiminaj,M??sica y baile,26100000,Estados Unidos,1600000,98300,7600,http://youtube.com/channel/UC3jOd7GUMhpgJRBhiLzuLsg
197,mariliamendoncareal,M??sica y baile,26100000,Brasil,0,0,0,http://youtube.com/channel/UCwfEOn0O1DWcyTgzVVu28ig
198,TheLallantop,Noticias y Pol?­tica,26000000,India,30800,822,52,http://youtube.com/channel/UCx8Z14PpntdaxCt2hakbQLQ
199,AGT,"M??sica y baile, Pel?­culas",25900000,Estados Unidos,186800,3100,197,http://youtube.com/channel/UCT2X19JJaJGUN7mrYuImANQ
200,davidguetta,M??sica y baile,25900000,Brasil,0,0,0,http://youtube.com/channel/UC1l7wYrva1qCH-wgqcHaaRg
202,postmalone,M??sica y baile,25900000,Estados Unidos,223100,13100,526,http://youtube.com/channel/UCeLHszkByNZtPKcaVXOCOQQ
203,VanossGaming,"Animaci?³n, Videojuegos",25900000,Estados Unidos,1300000,56500,1100,http://youtube.com/channel/UCKqH_9mk1waLgBiL2vT5b9g
205,abp_live,Noticias y Pol?­tica,25800000,India,2300,49,1,http://youtube.com/channel/UCmphdqZNmqL72WJ2uyiNw5w
206,LosPolinesios,"M??sica y baile, Pel?­culas",25700000,M?©xico,1400000,38400,866,http://youtube.com/channel/UCs8qka8tfhdc69wzXYdtZ3A
207,AlejoIgoa,Animaci?³n,25700000,Argentina,5700000,208400,1700,http://youtube.com/channel/UCZs0WwC0Dn_noiQE2BHSTKg
208,ZHCYT,"Dise?±o/arte, DIY y Life Hacks",25700000,Estados Unidos,2600000,127300,2200,http://youtube.com/channel/UClQubH2NeMmGLTLgNdLBwXg
209,RansEntertainment,Pel?­culas,25700000,Indonesia,365500,11400,399,http://youtube.com/channel/UCvA9_f5Lwk-poMynabtrZPg
211,coldplay,M??sica y baile,25500000,Estados Unidos,66900,3700,81,http://youtube.com/channel/UCDPM_n1atn2ijUwHd0NNRQw
212,ChrisBrownTV,M??sica y baile,25500000,Estados Unidos,102000,9700,354,http://youtube.com/channel/UCcYrdFJF7hmPXRNaWdrko4w
213,MarkRober,Ciencia y tecnolog?­a,25500000,Estados Unidos,479200,31700,329,http://youtube.com/channel/UCY1kMZp36IQSyNx_9h4mpCg
214,danrhodes,"Pel?­culas, Humor",25500000,Estados Unidos,414500,19300,131,http://youtube.com/channel/UC6D1L2vxEAg_Vi0JSxMBDgA
215,TRANS7Official,"Pel?­culas, Humor",25400000,Indonesia,1600,29,2,http://youtube.com/channel/UC24_Z2L-8Ki183AI9zJJzNQ
216,WatchMojo,"Pel?­culas, Animaci?³n",25100000,Estados Unidos,46700,1400,195,http://youtube.com/channel/UCaWd5_7JhbQBe4dknZhsHJg
219,ChloeTing,"Fitness, Salud y autoayuda",24900000,Estados Unidos,192700,7900,621,http://youtube.com/channel/UCCgLoMYIyP0U56dEhEL1wXQ
220,PrestonYT,"Videojuegos, Humor",24900000,Estados Unidos,1300000,36100,287,http://youtube.com/channel/UC70Dib4MvFfT1tU6MqeyHpQ
221,topperguild,"Animaci?³n, Humor",24900000,Estados Unidos,1800000,77600,838,http://youtube.com/channel/UCPuEAY09CtdTzFNWuqVZgDw
223,PenMovies,"Pel?­culas, Animaci?³n",24800000,India,59800,1200,25,http://youtube.com/channel/UC3ar28GS6o1p0m_wabfk2zw
225,unknownboyvarun,M??sica y baile,24700000,India,1300000,119600,154,http://youtube.com/channel/UC4DLvb5xZ9OLcVM1KC_R97g
227,1theK,M??sica y baile,24700000,Indonesia,10100,595,29,http://youtube.com/channel/UCweOkPb1wVVH0Q0Tlj4a5Pw
233,netdmuzik,M??sica y baile,24400000,Turqu?­a,6100,158,34,http://youtube.com/channel/UCR5wZcXtOUka8jTA57flzMg
235,rug,"Videojuegos, Humor",24300000,Estados Unidos,3200000,85300,5100,http://youtube.com/channel/UCilwZiBBfI9X6yiZRzWty8Q
238,DJSnake,M??sica y baile,24300000,India,16700,846,19,http://youtube.com/channel/UC_x8HoD18XJkILQBreVENUQ
239,alanbecker,"Animaci?³n, Videojuegos",24300000,Estados Unidos,7600000,582600,5900,http://youtube.com/channel/UCbKWv2x9t6u8yZoB3KcPtnw
242,juandediospantojaa,"M??sica y baile, Pel?­culas",24000000,M?©xico,3000000,133200,3600,http://youtube.com/channel/UCzoUWqjCbcfWFdOMvoep8FA
243,EnriqueIglesias,M??sica y baile,23900000,Estados Unidos,21800,2000,142,http://youtube.com/channel/UC-6czyMkxDi8E8akPl0c7_w
244,JamesCharles,"Belleza, Moda",23900000,Estados Unidos,964500,62300,1100,http://youtube.com/channel/UCucot-Zp428OwkyRm2I7v2Q
245,MrMaxLife,Videojuegos,23900000,Rusia,824200,19300,3000,http://youtube.com/channel/UC_8PAD0Qmi6_gpe77S1Atgg
248,misskaty1133,"Videojuegos, Juguetes",23700000,Rusia,1300000,15200,1000,http://youtube.com/channel/UCcartHVtvAUzfajflyeT_Gg
249,Ninja,"Animaci?³n, Videojuegos",23700000,Estados Unidos,204600,8700,141,http://youtube.com/channel/UCAW-NpUFkMyCNrvRSSGIvDQ
250,NickyJamTV,"M??sica y baile, Pel?­culas",23700000,Colombia,15800,1200,58,http://youtube.com/channel/UCpb_iJuhFe8V6rQdbNqfAlQ
251,NickyJamTV,"M??sica y baile, Pel?­culas",23700000,Colombia,15800,1200,58,http://youtube.com/channel/UCpb_iJuhFe8V6rQdbNqfAlQ
253,ishaanali11,Vlogs diarios,23500000,India,3400000,242900,467,http://youtube.com/channel/UCN4NflpHqLeHQZ91kTUVCBw
255,Jelly,"Animaci?³n, Videojuegos",23500000,Estados Unidos,156400,5800,266,http://youtube.com/channel/UC0DZmkupLYwc0yDsfocLh0A
259,GMMGrammy,M??sica y baile,23400000,Tailandia,2900,96,3,http://youtube.com/channel/UCG9gfnA5UDoLvz-tC9B-HKw
260,WaveMusicBhojpuri,M??sica y baile,23400000,India,8400,154,7,http://youtube.com/channel/UCYLlkv4hivYJlOk6Lo-RHNQ
262,whitehillmusic,M??sica y baile,23300000,India,15300,659,5,http://youtube.com/channel/UCopY0NAzASqmD6eVaRj2TFQ
268,capitanyolotroll,"Animaci?³n, Humor",23100000,M?©xico,3200000,189300,827,http://youtube.com/channel/UCQ8TuCvcDMepleXFyOQfyOQ
270,ZachChoi,Vlogs diarios,23000000,Estados Unidos,142200,3000,162,http://youtube.com/channel/UCI78AdiI6f7VKhqW1i4B3Rw
273,AmiRodrigueZZ,"Animaci?³n, Humor",22900000,Colombia,4300000,294400,1300,http://youtube.com/channel/UCwohKbRK2QnojtLh3p7xwaA
275,sia,"M??sica y baile, Pel?­culas",22900000,Estados Unidos,0,0,0,http://youtube.com/channel/UCN9HPn2fq-NL8M5_kp4RWZQ
277,invictorgs3,"Animaci?³n, Videojuegos",22800000,M?©xico,806400,25500,418,http://youtube.com/channel/UChOQkbLHWi3zSCUjT7Kjd1g
279,StokesTwins,"Videojuegos, Humor",22700000,Estados Unidos,11700000,235000,10000,http://youtube.com/channel/UCbp9MyKCTEww4CxEzc_Tp0Q
282,SSundee,"Animaci?³n, Videojuegos",22700000,Estados Unidos,1700000,59800,1800,http://youtube.com/channel/UCke6I9N4KfC968-yRcd5YRg
283,souravjoshivlogs7028,Vlogs diarios,22700000,India,5600000,382300,8900,http://youtube.com/channel/UCjvgGbPPn-FgYeguc5nxG4A
284,THECHAINSMOKERS,"M??sica y baile, Pel?­culas",22700000,Estados Unidos,38900,1800,76,http://youtube.com/channel/UCq3Ci-h945sbEYXpVlw7rJg
285,ZachKing,"Pel?­culas, Humor",22600000,Estados Unidos,4900000,238500,522,http://youtube.com/channel/UCq8DICunczvLuJJq414110A
286,BenAzelart,"Videojuegos, Humor",22500000,Estados Unidos,3700000,44900,2700,http://youtube.com/channel/UCwVg9btOceLQuNCdoQk9CXg
288,fgteev,"Pel?­culas, Videojuegos",22500000,Estados Unidos,826800,10300,2100,http://youtube.com/channel/UCC-RHF_77zQdKcA75hr5oTQ
296,rotanamusic,M??sica y baile,22300000,Arabia Saudita,2100000,12600,321,http://youtube.com/channel/UCNhqvQMXIgRfjAGmxQqdNRw
297,RAFAELUIZOFICIAL,"Pel?­culas, Animaci?³n",22100000,Brasil,671700,30500,522,http://youtube.com/channel/UC6paX0kLA8D81aYogceMufw
299,williesalim,"Pel?­culas, Humor",21900000,Indonesia,396200,0,2800,http://youtube.com/channel/UCPCaXSwaos-QI03iZtx8I6g
302,TlnovelasOficial,"M??sica y baile, Animaci?³n",21900000,M?©xico,5500,152,5,http://youtube.com/channel/UCKyU-wd-KY4PMOcOpPQgQcw
303,royaltyfam,Humor,21900000,Estados Unidos,4700000,67000,6600,http://youtube.com/channel/UCja7QUMRG9AD8X2F_vXFb9A
305,infinite,"Videojuegos, Humor",21700000,Estados Unidos,884800,45700,1400,http://youtube.com/channel/UC_hSjGOO67A6gIDUcyuv_8A
307,khangsresearchcentre1685,Educaci?³n,21700000,India,7300000,501700,17000,http://youtube.com/channel/UCatL-c6pmnjzEOHSyjn-sHA
308,gmapublicaffairs,Noticias y Pol?­tica,21700000,Filipinas,4300,68,2,http://youtube.com/channel/UCj5RwDivLksanrNvkW0FB4w
310,beckyg,M??sica y baile,21500000,Estados Unidos,0,0,0,http://youtube.com/channel/UCgtNC51EUSgcZ6kKyVoPxKA
311,Priyal_Kukreja,Vlogs diarios,21500000,India,7700000,224600,510,http://youtube.com/channel/UCzEAWIWMigRBbulQ6yVlilg
312,BaimPaula,"M??sica y baile, Pel?­culas",21300000,Indonesia,352500,12600,773,http://youtube.com/channel/UC5xAPCVizxOfnMECMXkal2Q
314,buzzfeedtasty,Comida y bebida,21100000,Estados Unidos,84300,3200,34,http://youtube.com/channel/UCJFp8uSYCjXOMnkUyb3CQ3Q
315,fatosdesconhecidos,Ciencia y tecnolog?­a,21100000,Brasil,92900,10200,407,http://youtube.com/channel/UCbAiIkPobUFy71zlmwVw3jw
316,lyricalemonade,"M??sica y baile, Animaci?³n",21100000,Estados Unidos,2800000,127300,5800,http://youtube.com/channel/UCtylTUUVIGY_i5afsQYeBZA
317,MrVivekBindra,Educaci?³n,21100000,India,56900,3100,17,http://youtube.com/channel/UCR-foyF-C6VuAlwy3KZMkgA
319,kurzgesagt,Educaci?³n,21100000,Estados Unidos,4900000,253500,14000,http://youtube.com/channel/UCsXVk37bltHxD1rDPwtNM8Q
320,romeo,M??sica y baile,21100000,Estados Unidos,3200000,53900,1600,http://youtube.com/channel/UCyxbZF7_PK4nLiexj0kkCNg
322,NBA,Deportes,20900000,Estados Unidos,46400,1000,55,http://youtube.com/channel/UCWJ2lWNubArHWmf3FIHbfcQ
323,JasonDerulo,M??sica y baile,20800000,Estados Unidos,80500,3100,35,http://youtube.com/channel/UCe3yZzUwpmy2eKKmF9svX0Q
325,avicii,"M??sica y baile, Pel?­culas",20700000,Estados Unidos,0,0,0,http://youtube.com/channel/UCPHjpfnnGklkRBBTd0k6aHg
326,5MinuteCraftsDIY,M??sica y baile,20700000,India,14600,110,4,http://youtube.com/channel/UC2etEuPIfohP4P53wM0KImA
327,NinjaKidz,Videojuegos,20700000,Estados Unidos,289800,6600,217,http://youtube.com/channel/UCpZ88DWlKW0H_AYDaUZptcw
328,7clouds,M??sica y baile,20700000,Estados Unidos,92100,1200,74,http://youtube.com/channel/UCNqFDjYTexJDET3rPDrmJKg
329,LinkinPark,M??sica y baile,20700000,Estados Unidos,73700,7100,134,http://youtube.com/channel/UCZU9T1ceaOgwfLRq7OKFU4Q
334,jakepaul,Fitness,20500000,Estados Unidos,172400,7500,127,http://youtube.com/channel/UCcgVECVN4OKV6DH1jLkqmcA
335,somoynews360,Vlogs diarios,20500000,Bangladesh,7400,196,4,http://youtube.com/channel/UCxHoBXkY88Tb8z1Ssj6CWsQ
336,SlivkiShow,Videojuegos,20500000,Rusia,2500000,154200,6800,http://youtube.com/channel/UCU_yU4xGT9hrVFo6euH8LLw
337,Miawaug,Videojuegos,20500000,Indonesia,748400,29300,2000,http://youtube.com/channel/UC3J4Q1grz46bdJ7NJLd4DGw
338,EmiwayBantai,M??sica y baile,20500000,India,892800,95600,5500,http://youtube.com/channel/UCHmk8iNJHvf5mGN6_pkPc7g
340,Cookieswirlc,Videojuegos,20500000,Estados Unidos,147000,2000,482,http://youtube.com/channel/UCelMeixAOTs2OQAAi9wU8-g
342,triggeredinsaan,Humor,20400000,India,11100000,1400000,38000,http://youtube.com/channel/UCfLuT3JwLx8rvHjHfTymekw
343,SonyAATH,"Viajes, Espect??culos",20400000,Bangladesh,89500,782,49,http://youtube.com/channel/UCBz9qbqujcjIavFmBJW2oZw
344,IShowSpeed,"Videojuegos, Humor",20300000,Estados Unidos,2500000,101600,5000,http://youtube.com/channel/UCWsDFcIhY2DBi3GB5uykGXA
345,RobinHoodGamer1,"Animaci?³n, Videojuegos",20300000,Brasil,465800,17000,533,http://youtube.com/channel/UCYtaoJSk9iIrFxx8eZB15ag
346,5MinuteCraftsPLAY,Pel?­culas,20300000,India,14300,106,5,http://youtube.com/channel/UC57XAjJ04TY8gNxOWf-Sy0Q
